REF_DATE,GEO,PRODUCT,STORAGE,UOM,VECTOR,COORDINATE,VALUE
Mar-70,Manitoba,Cabbage,Cold and common storage,Tonnes,v722370,5.4.1,32
Mar-70,Saskatchewan,Potatoes,Cold and common storage,Tonnes,v722347,6.1.1,1
Mar-70,Saskatchewan,Onions,Cold and common storage,Tonnes,v722355,6.2.1,125
Mar-70,Saskatchewan,Carrots,Cold and common storage,Tonnes,v722363,6.3.1,33
Mar-70,Saskatchewan,Cabbage,Cold and common storage,Tonnes,v722371,6.4.1,34
Mar-70,Alberta,Potatoes,Cold and common storage,Tonnes,v722348,7.1.1,56
Mar-70,Alberta,Onions,Cold and common storage,Tonnes,v722356,7.2.1,286
Mar-70,Alberta,Carrots,Cold and common storage,Tonnes,v722364,7.3.1,123
Mar-70,Alberta,Cabbage,Cold and common storage,Tonnes,v722372,7.4.1,30
Mar-70,British Columbia,Potatoes,Cold and common storage,Tonnes,v722349,8.1.1,12
Mar-70,British Columbia,Onions,Cold and common storage,Tonnes,v722357,8.2.1,506
Mar-70,British Columbia,Carrots,Cold and common storage,Tonnes,v722365,8.3.1,234
Mar-70,British Columbia,Cabbage,Cold and common storage,Tonnes,v722373,8.4.1,96
Apr-70,Canada,Potatoes,Cold and common storage,Tonnes,v722342,1.1.1,559
Apr-70,Canada,Onions,Cold and common storage,Tonnes,v722350,1.2.1,5034
Apr-70,Canada,Carrots,Cold and common storage,Tonnes,v722358,1.3.1,6525
Apr-70,Canada,Cabbage,Cold and common storage,Tonnes,v722366,1.4.1,474
